Gender,Married,ApplicantIncome,LoanAmount,Loan_Status
Male,Yes,4583,128000.0,N
Male,Yes,3000,66000.0,Y
Male,Yes,2583,120000.0,Y
Male,No,6000,141000.0,Y
Male,Yes,5417,267000.0,Y
Male,Yes,2333,95000.0,Y
Male,Yes,3036,158000.0,N
Male,Yes,4006,168000.0,Y
Male,Yes,12841,349000.0,N
Male,Yes,3200,70000.0,Y
Male,Yes,2500,109000.0,Y
Male,Yes,3073,200000.0,Y
Male,No,1853,114000.0,N
Male,Yes,1299,17000.0,Y
Male,No,4950,125000.0,Y
Male,No,3596,100000.0,Y
Female,No,3510,76000.0,N
Male,Yes,4887,133000.0,N
Male,Yes,2600,115000.0,Y
Male,Yes,7660,104000.0,N
Male,Yes,5955,315000.0,Y
Male,Yes,2600,116000.0,N
Male,Yes,3717,151000.0,N
Male,Yes,9560,191000.0,Y
Male,Yes,2799,122000.0,Y
Male,Yes,4226,110000.0,Y
Male,No,1442,35000.0,N
Female,No,3750,120000.0,Y
Male,Yes,4166,201000.0,N
Male,No,3167,74000.0,N
Male,No,4692,106000.0,N
Male,Yes,3500,114000.0,Y
Male,No,12500,320000.0,N
Male,Yes,1828,100000.0,N
Female,Yes,3667,144000.0,Y
Male,No,4166,184000.0,Y
Male,No,3748,110000.0,Y
Male,No,3600,80000.0,N
Male,No,1800,47000.0,Y
Male,Yes,2400,75000.0,Y
Male,Yes,3941,134000.0,Y
Male,Yes,4695,96000.0,Y
Female,No,3410,88000.0,Y
Male,Yes,5649,44000.0,Y
Male,Yes,5821,144000.0,Y
Female,Yes,2645,120000.0,N
Female,No,4000,144000.0,Y
Female,Yes,1928,100000.0,Y
Female,No,3086,120000.0,Y
Female,No,4230,112000.0,N
Male,Yes,4616,134000.0,N
Female,Yes,11500,286000.0,N
Male,Yes,2708,97000.0,Y
Male,Yes,2132,96000.0,Y
Male,Yes,3366,135000.0,N
Male,Yes,8080,180000.0,Y
Male,Yes,3357,144000.0,Y
Male,Yes,2500,120000.0,Y
Male,Yes,3029,99000.0,Y
Male,Yes,2609,165000.0,N
Female,No,4166,116000.0,N
Male,Yes,5726,258000.0,N
Male,No,3200,126000.0,N
Male,Yes,10750,312000.0,Y
Male,Yes,7100,125000.0,Y
Female,No,4300,136000.0,N
Male,Yes,3208,172000.0,Y
Male,Yes,1875,97000.0,Y
Male,No,3500,81000.0,Y
Male,Yes,4755,95000.0,N
Male,Yes,5266,187000.0,Y
Male,No,3750,113000.0,N
Male,No,3750,176000.0,N
Male,Yes,1000,110000.0,N
Male,Yes,3167,180000.0,N
Male,Yes,3333,130000.0,Y
Female,No,3846,111000.0,Y
Female,Yes,1378,167000.0,N
Male,Yes,6000,265000.0,N
Male,Yes,3988,50000.0,Y
Male,No,2366,136000.0,Y
Male,Yes,3333,99000.0,Y
Male,Yes,2500,104000.0,Y
Male,No,8566,210000.0,Y
Male,Yes,5695,175000.0,Y
Male,Yes,2958,131000.0,Y
Male,Yes,6250,188000.0,Y
Male,Yes,3273,81000.0,Y
Male,No,4133,122000.0,Y
Male,No,3620,25000.0,Y
Female,Yes,2484,137000.0,Y
Male,Yes,1977,50000.0,Y
Male,Yes,4188,115000.0,Y
Male,Yes,1759,131000.0,Y
Male,Yes,4288,133000.0,Y
Male,No,4843,151000.0,Y
Male,Yes,3052,100000.0,Y
Male,Yes,11417,225000.0,Y
Male,No,7333,120000.0,N
Male,Yes,3800,216000.0,N
Male,Yes,2071,94000.0,Y
Male,No,5316,136000.0,Y
Female,Yes,2929,139000.0,Y
Male,Yes,3572,152000.0,N
Male,No,5050,118000.0,Y
Male,Yes,14583,185000.0,Y
Female,Yes,3167,154000.0,Y
Male,Yes,2214,85000.0,Y
Male,Yes,5568,175000.0,N
Female,No,10408,259000.0,Y
Male,Yes,5667,180000.0,Y
Female,No,4166,44000.0,Y
Female,No,2137,137000.0,Y
Male,Yes,2957,81000.0,Y
Male,Yes,4300,194000.0,Y
Female,No,3692,93000.0,Y
Male,Yes,10513,160000.0,N
Male,Yes,6080,182000.0,N
Male,No,20166,650000.0,Y
Male,No,2014,74000.0,Y
Male,No,2718,70000.0,Y
Male,Yes,3459,25000.0,Y
Male,No,4895,102000.0,Y
Male,Yes,4000,290000.0,N
Female,Yes,4583,84000.0,N
Male,Yes,3316,88000.0,Y
Male,No,14999,242000.0,N
Male,Yes,4200,129000.0,N
Male,Yes,5042,185000.0,N
Male,No,5417,168000.0,Y
Male,No,6950,175000.0,Y
Male,Yes,2698,122000.0,Y
Male,Yes,11757,187000.0,Y
Female,Yes,2330,100000.0,Y
Female,Yes,14866,70000.0,Y
Male,Yes,1538,30000.0,Y
Female,No,10000,225000.0,N
Male,Yes,4860,125000.0,Y
Male,No,6277,118000.0,N
Male,Yes,2577,152000.0,Y
Male,No,9166,244000.0,N
Male,Yes,2281,113000.0,N
Male,No,3254,50000.0,Y
Male,Yes,39999,600000.0,Y
Male,Yes,6000,160000.0,Y
Male,Yes,9538,187000.0,Y
Male,No,2980,120000.0,Y
Male,Yes,4583,255000.0,Y
Male,Yes,1863,98000.0,Y
Male,Yes,7933,275000.0,N
Male,Yes,3089,121000.0,N
Male,Yes,4167,158000.0,Y
Male,Yes,9323,75000.0,Y
Male,Yes,3707,182000.0,Y
Female,Yes,4583,112000.0,N
Male,Yes,2439,129000.0,Y
Male,No,2237,63000.0,N
Male,Yes,8000,200000.0,Y
Male,Yes,1820,95000.0,Y
Male,Yes,3522,81000.0,N
Male,Yes,5708,187000.0,Y
Male,Yes,4344,87000.0,N
Male,Yes,3497,116000.0,Y
Male,Yes,2045,101000.0,Y
Male,Yes,5516,495000.0,N
Male,Yes,3750,116000.0,Y
Male,No,2333,102000.0,N
Male,Yes,6400,180000.0,N
Male,No,1916,67000.0,N
Male,Yes,4600,73000.0,Y
Male,Yes,33846,260000.0,N
Female,Yes,3625,108000.0,Y
Male,Yes,39147,120000.0,Y
Male,Yes,2178,66000.0,N
Male,Yes,2383,58000.0,Y
Male,Yes,9328,188000.0,Y
Male,No,4885,48000.0,Y
Male,No,12000,164000.0,N
Male,Yes,6033,160000.0,N
Male,No,3858,76000.0,Y
Male,No,4191,120000.0,Y
Male,Yes,3125,170000.0,N
Male,No,8333,187000.0,Y
Female,No,1907,120000.0,Y
Female,Yes,3416,113000.0,Y
Male,No,11000,83000.0,N
Male,Yes,2600,90000.0,Y
Male,No,4923,166000.0,Y
Male,Yes,3500,135000.0,Y
Male,Yes,3917,124000.0,Y
Female,No,4408,120000.0,Y
Female,No,3244,80000.0,Y
Male,No,3975,55000.0,Y
Male,No,2479,59000.0,Y
Male,No,3418,127000.0,N
Female,No,10000,214000.0,N
Male,Yes,3430,128000.0,N
Male,Yes,7787,240000.0,Y
Male,Yes,5703,130000.0,Y
Male,Yes,3173,137000.0,Y
Male,Yes,3850,100000.0,Y
Male,Yes,150,135000.0,N
Male,Yes,3727,131000.0,Y
Male,Yes,5000,72000.0,N
Female,Yes,4283,127000.0,Y
Male,Yes,2221,60000.0,N
Male,Yes,4009,116000.0,Y
Male,No,2971,144000.0,Y
Male,Yes,7578,175000.0,Y
Male,Yes,6250,128000.0,Y
Male,Yes,3250,170000.0,N
Male,Yes,4735,138000.0,N
Male,Yes,6250,210000.0,Y
Male,No,6400,200000.0,Y
Male,Yes,2491,104000.0,Y
Male,Yes,3716,42000.0,Y
Male,No,3189,120000.0,Y
Female,No,8333,280000.0,Y
Male,Yes,3155,140000.0,Y
Male,Yes,5500,170000.0,Y
Male,Yes,5746,255000.0,N
Female,No,3463,122000.0,Y
Female,No,3812,112000.0,Y
Male,Yes,3315,96000.0,Y
Male,Yes,5819,120000.0,Y
Male,Yes,2510,140000.0,N
Male,No,2965,155000.0,Y
Male,Yes,6250,108000.0,Y
Male,Yes,3406,123000.0,Y
Male,No,6050,120000.0,N
Male,Yes,9703,112000.0,Y
Male,Yes,6608,137000.0,Y
Male,Yes,2882,123000.0,Y
Male,Yes,1809,90000.0,Y
Male,Yes,1668,201000.0,N
Female,No,3427,138000.0,N
Male,No,2583,104000.0,Y
Male,Yes,2661,279000.0,Y
Male,No,16250,192000.0,N
Female,No,3083,255000.0,Y
Male,No,6045,115000.0,N
Male,Yes,5250,94000.0,N
Male,Yes,14683,304000.0,N
Male,Yes,4931,128000.0,N
Male,Yes,6083,330000.0,Y
Male,No,2060,134000.0,Y
Female,No,3481,155000.0,N
Female,No,7200,120000.0,Y
Male,No,5166,128000.0,Y
Male,No,4095,151000.0,Y
Male,Yes,4708,150000.0,Y
Male,Yes,4333,160000.0,Y
